author_name,Gender,Gender Probability
Yuanjie Li,male,0.65
Vania Dimitrova,female,0.98
Liangliang Shi,male,0.76
Xiaobo Wang,male,0.83
David Keetae Park,male,1.0
Feiwu Yu,male,0.8
Xiaoqiang Lu,male,0.97
Huang Xu,male,0.91
Satinder Singh,male,1.0
Jesús Giráldez-Cru,male,0.98
Weinan Zhang,male,0.83
Dongfang Du,male,0.51
Xiao Lu,female,0.9
Bruno Yun,male,1.0
Yevgeniy Vorobeychik,male,1.0
Wenzhuo Yang,male,0.64
Djallel Bouneffouf,male,0.99
Guangyue Xu,male,0.63
Zoran Obradovic,male,1.0
Bettina Fazzinga,female,0.99
Ren Qi,male,0.85
Xiaoying Zhang,female,0.95
Qiang Liu,male,0.95
Qiguang Miao,male,1.0
Jiajun Zhang,male,0.91
Xiaocheng Feng,male,0.75
Zihe Wang,male,0.58
Peizhi Wu,male,0.6
Irina Trubitsyna,female,0.99
Darlene Woo,female,1.0
Shichao Cheng,male,0.86
Ioanna Symeonidou,female,0.99
Tomasz P. Michalak,male,1.0
Min Chi,female,0.5
Dakuan Zhao,male,1.0
Shuwen Xiao,female,0.83
Rina Dechter,female,0.98
Berthe Y. Choueiry,female,0.94
Tong Wei,male,0.67
Hongfei Fu,male,0.78
Vincent W. S. Tseng,male,0.99
Weiquan Liu,male,0.94
Nastaran Okati,female,0.98
Qian Zheng,male,0.81
Zhongjian Lv,male,1.0
Wenhui Li,female,0.55
Mark Valovage,male,1.0
Giuseppe Contissa,male,0.99
Gianluca Brero,male,1.0
Thomas Eiter,male,1.0
Philip S. Thomas,male,1.0
Erez Karpas,male,0.99
Qiang Fu,male,0.95
Junshan Wang,male,0.8
Jivko Sinapov,male,0.99
Johannes Peter Wallner,male,1.0
Peng Cui,male,0.92
Hongyuan Zhu,male,0.84
Ziv Epstein,male,0.9
Hongjun Wang,male,0.9
Nicolas Maudet,male,1.0
Arvind Iyer,male,0.99
Zhongwen Xu,male,0.83
Panagiotis Kouvaros,male,1.0
Xin Luo,female,0.64
Shiyu Chang,female,0.68
Lei Wang,female,0.53
Ashish Kapoor,male,1.0
Liang Jiang,male,0.92
Yongkun Wang,male,0.94
Martin Koutecký,male,0.99
Michele Flammini,female,0.54
Yang Yang,female,0.62
Le Zhang,male,0.71
MohammadTaghi Hajiaghayi,male,0.97
Xin Geng,female,0.64
Pouya Ghiasnezhad Omran,male,0.99
Yanan Sui,female,0.75
Jun Zhu,female,1.0
Rui Zhang,male,0.97
Zhenchun Pan,male,0.78
Aniket Kittur,male,1.0
Xiao Zhou,male,0.67
Yanyan Shen,female,0.82
Chengqing Zong,male,0.77
Carsten Walther,male,1.0
Julia Stoyanovich,female,0.99
Qiao Qian,male,0.81
Chaoran Huang,male,0.71
Qiong Wu,female,0.89
Ian Davidson,male,1.0
S. S. Ravi,male,0.99
Nan Wei,male,1.0
Xintong Wang,female,0.84
Xiangteng He,unknown,0.0
Renjie Zheng,male,0.89
Chuanren Liu,male,0.75
Hu Xu,male,0.91
Shifu Hou,male,0.79
Tae-San Eom,male,0.64
Nathan R. Sturtevant,male,1.0
Jun Guo,male,1.0
Manuel Lopes,male,1.0
Spyridon Samothrakis,male,1.0
Luciana Arantes,female,1.0
Zhaohua Yang,male,0.72
Chia-Wen Lin,female,0.52
Andrew R. Michaelis,male,1.0
Dandan Song,female,0.58
Hongcheng Li,male,0.88
Chao Ma,female,0.83
Tal Ze'evi,male,0.58
Reinhard Pichler,male,1.0
Guangyao Shen,male,0.98
Nesreen K. Ahmed,female,0.99
Tie-Yan Liu,unknown,0.0
Hongyi Wu,male,0.71
Guiying Li,female,0.93
Tomás Brázdil,male,1.0
Li Liu,female,0.67
Umberto Grandi,male,1.0
Elena Cabrio,female,0.99
Maxim Likhachev,male,0.99
Sebastian Ordyniak,male,1.0
Saket Saurabh,male,1.0
Atsuhiro Takasu,male,1.0
Zhenglu Yang,female,1.0
Diego Calvanese,male,1.0
Jiancheng Li,male,0.97
Matthias Uflacker,male,1.0
Hankz Hankui Zhuo,male,1.0
David Tena Cucala,male,1.0
Vu-Linh Nguyen,male,0.59
Olaf Beyersdorff,male,0.99
Luke Hunsberger,male,1.0
Ce Li,female,1.0
Yiyuan Wang,male,0.52
Li Zhou,female,1.0
Sarit Kraus,female,0.98
Jing Shi,female,1.0
Fábio Gagliardi Cozman,male,1.0
Jinye Peng,female,0.63
Jan Elffers,male,0.89
Junjie Zhao,male,0.98
Fangkai Yang,male,1.0
Bin Wang,male,0.95
Sourav Bhattacharya,male,0.98
J. Zico Kolter,male,0.97
Alex Tozzo,male,0.95
Christopher Amato,male,1.0
Abhimanyu Dubey,male,1.0
Patrick De Causmaecker,male,1.0
Heshan Du,male,0.99
Qilong Wang,male,0.98
Serena Villata,female,0.99
Marc Najork,male,1.0
Edmund H. Durfee,male,1.0
Manuela M. Veloso,female,0.99
Fei Wang,male,1.0
Bin Liang,male,0.95
Bryan Hooi,male,1.0
Huanbo Luan,male,0.95
Avani Samdariya,female,0.99
Jean-Marie Lagniez,male,0.58
Yixin Ji,female,0.93
Chunlai Zhou,male,0.55
Irwin King,male,1.0
Pu Chen,male,0.58
Lidong Bing,male,0.8
Ioana Baldini,female,0.99
Ian Howell,male,1.0
Yuyang Ye,male,0.92
Avinatan Hassidim,male,1.0
Chao Li,male,1.0
Guangming Lu,male,0.98
Jayashree Kalpathy-Cramer,female,0.99
Justin Svegliato,male,0.99
Weiping Wang,male,0.64
Yi Tu,female,0.57
Yin Wen,female,1.0
Arianna Novaro,female,1.0
Liqiang Xiao,male,0.99
Yunsong Li,male,0.67
